,"Название, год",Рейтинг(Кинопоиск)
0,Невероятные приключения ДжоДжо (сериал) 2012 – ...,8.6
1,Твоя апрельская ложь (сериал) 2014 – 2015,8.6
2,Охотник х Охотник (сериал) 2011 – 2014,8.5
3,Атака титанов: Выбор без сожалений (мини-сериал) 2014,8.5
4,Гинтама 2 2013,8.5
5,Мастер Муси 2 (сериал) 2014,8.5
6,Брошенный кролик (сериал) 2011 – 2012,8.4
7,Врата Штейна (сериал) 2011,8.4
8,Пинг-понг (сериал) 2014,8.4
9,Атака титанов (сериал) 2013 – ...,8.4
10,Ванпанчмен (сериал) 2015 – 2019,8.4
11,Мастер Муси: Следующая глава 2015,8.3
12,Волейбол!! (сериал) 2014 – ...,8.3
13,"Очень приятно, Бог (сериал) 2012 – 2015",8.3
14,Истории: Сезон второй (сериал) 2013,8.2
15,"В лес, где мерцают светлячки 2011",8.2
16,Волейбол!! (мини-сериал) 2015,8.2
17,Аполлон: Дети на холме (сериал) 2012,8.1
18,Кошечка из «Сакурасо» (сериал) 2012 – 2013,8.1
19,Баскетбол Куроко (сериал) 2012 – 2015,8.1
20,Ангельские ритмы! (сериал) 2010 – 2015,8.1
21,Паразит: Учение о жизни (сериал) 2014 – 2015,8.1
22,Радуга: Семеро из шестой камеры (сериал) 2010,8.1
23,Бакуман. (сериал) 2010 – 2013,8.1
24,Тёмный дворецкий: Книга убийств (мини-сериал) 2014,8.1
25,Парад смерти (сериал) 2015,8.1
26,Президент – горничная! (сериал) 2010 – 2011,8.1
27,Сказание о принцессе Кагуя 2013,8.1
28,Баракамон (мини-сериал) 2014,8.0
29,Ученик чудовища 2015,8.0
30,Сказ о четырёх с половиной татами (сериал) 2010,8.0
31,Ван-Пис: Фильм одиннадцатый 2012,8.0
32,"Мастер Муси: Тень, пожирающая солнце (ТВ) 2014",8.0
33,История финала (сериал) 2015 – 2017,8.0
34,Судьба: Ночь схватки (сериал) 2014 – 2015,8.0
35,Эхо террора (сериал) 2014,8.0
36,Волчьи дети Амэ и Юки 2012,8.0
37,Психопаспорт (сериал) 2012 – 2019,8.0
38,Бездомный Бог (сериал) 2014 – 2016,8.0
39,Мастера меча онлайн (сериал) 2012 – 2020,8.0
40,Судьба: Начало (сериал) 2011 – 2012,8.0
41,Кулинарные поединки (сериал) 2015 – 2020,7.9
42,Ветер крепчает 2013,7.9
43,Невиданный цветок (сериал) 2011,7.9
44,Наруто 9: Путь ниндзя 2012,7.9
45,Тёмный дворецкий 3 (сериал) 2014,7.9
46,Со склонов Кокурико 2011,7.9
47,Ариэтти из страны лилипутов 2010,7.9
48,Дюрарара!! (сериал) 2010 – 2011,7.9
49,Девочка-волшебница Мадока (сериал) 2011,7.9
50,Нет игры – нет жизни (сериал) 2014,7.8
51,Врата Штейна: Дежавю 2013,7.8
52,Принцесса медуз (сериал) 2010,7.8
53,Рассвет Йоны (сериал) 2014,7.8
54,Кайдзи 2 (сериал) 2011,7.8
55,Ты и я (сериал) 2011 – 2012,7.8
56,Воспоминания о Марни 2014,7.8
57,Ванпанчмен: Путь становления героя 2015,7.8
58,Лучшая в мире первая любовь (сериал) 2011,7.8
59,Исчезновение Харухи Судзумии 2010,7.8
60,Сад изящных слов 2013,7.8
61,Яркая Тихая (сериал) 2011 – 2020,7.8
62,Готика (сериал) 2011,7.8
63,Убить или быть убитым (сериал) 2013 – 2014,7.8
64,Пластиковые воспоминания (сериал) 2015,7.8
65,Сказание о демонах сакуры (сериал) 2010 – 2012,7.8
66,Шарлотта (сериал) 2015 – 2016,7.8
67,Из Нового света (сериал) 2012 – 2013,7.8
68,Убийца Акамэ! (сериал) 2014,7.8
69,Чей-то пристальный взор 2013,7.7
70,Вельзевул (сериал) 2011 – 2012,7.7
71,Семь смертных грехов (сериал) 2014 – 2021,7.7
72,Мелочи жизни (сериал) 2011,7.7
73,Истории мечей (мини-сериал) 2010,7.7
74,Дюрарара!! 2 (сериал) 2015,7.7
75,Маги 2: Королевство волшебства (сериал) 2013 – 2014,7.7
76,Красная черта 2010,7.7
77,Внук Нурарихёна (сериал) 2010 – 2011,7.7
78,Осомацу-сан (сериал) 2015 – 2018,7.7
79,Девочка-волшебница Мадока. Волшебный фильм 3: История восстания 2013,7.7
80,"Как и ожидалось, моя подростковая романтическая комедия не складывается (сериал) 2013 – 2020",7.7
81,Истории подделок (мини-сериал) 2012,7.7
82,Синий экзорцист (сериал) 2011 – 2014,7.7
83,Усопшие (сериал) 2010,7.7
84,Золотое время (сериал) 2013 – 2014,7.7
85,K-On! Фильм 2011,7.7
86,Гибридный ребенок (мини-сериал) 2014,7.7
87,Космический Денди (сериал) 2014,7.7
88,Моя история!! (сериал) 2015,7.7
89,Берсерк. Золотой век: Фильм III. Сошествие 2013,7.7
90,Ежемесячное сёдзё Нодзаки-куна (сериал) 2014,7.7
91,Безоблачное завтра (сериал) 2013 – 2014,7.7
92,Триган: Переполох в Пустошах 2010,7.7
93,Азбука цветов (сериал) 2011,7.6
94,Атака титанов: Крылья свободы 2015,7.6
95,Остров Джованни 2014,7.6
96,Мистер Тесто и Принцесса Яйцо 2010,7.6
97,Смертельный бильярд 2013,7.6
98,Ловцы забытых голосов 2011,7.6
99,Берсерк: Золотой век. Фильм II. Битва за Долдрей 2012,7.6
100,И всё-таки мир прекрасен (сериал) 2014,7.6
101,Дневник будущего (сериал) 2011 – 2012,7.6
102,Иная (сериал) 2012,7.6
103,Сказание об Арслане (сериал) 2015 – 2016,7.6
104,"Тиран, который влюбился (мини-сериал) 2010",7.6
105,Многоцветье 2010,7.6
106,Время Евы 2010,7.6
107,Шестая зона (сериал) 2011,7.6
108,Дорога юности (сериал) 2014,7.6
109,Врата (сериал) 2015 – 2016,7.6
110,Дом Пяти листьев (мини-сериал) 2010,7.6
111,Повелитель (сериал) 2015 – 2018,7.6
112,История кошки (черная глава) (сериал) 2012,7.6
113,Сказание о демонах сакуры 2013,7.6
114,Гинтама: Фильм 2010,7.6
115,Темнее чёрного – История чёрного контрактора (видео) 2010,7.6
116,Хроники Горизонта (сериал) 2013 – ...,7.6
117,Сломанный меч 4 2010,7.6
118,Хёка (сериал) 2012,7.6
119,Невиданный цветок 2013,7.6
120,Чудачество любви не помеха! (сериал) 2012 – 2013,7.6
121,Принцесса и пилот 2011,7.6
122,Истории ран 2015,7.6
123,Блич 4: Врата ада 2010,7.6
124,Гаргантия на зеленой планете (сериал) 2013,7.6
125,Сломанный меч 2 2010,7.6
126,Скажи: «Я люблю тебя» (сериал) 2012 – ...,7.6
127,Предательство знает мое имя (сериал) 2010,7.5
128,Сломанный меч 2010,7.5
129,Сломанный меч 5 2011,7.5
130,Буря потерь: Истребление цивилизации (сериал) 2012 – ...,7.5
131,Школа мертвецов (сериал) 2010 – 2011,7.5
132,Берсерк. Золотой век: Фильм I. Бехерит Властителя 2012,7.5
133,Сломанный меч 3 2010,7.5
134,Сломанный меч 6 2011,7.5
135,Атака титанов: Багровые стрелы 2014,7.5
136,Синий экзорцист 2012,7.5
137,У меня мало друзей: Далее (сериал) 2013,7.5
138,Сатана на подработке! (сериал) 2013,7.5
139,Корона грешника (сериал) 2011 – 2012,7.4
